<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MO.US,D,20060421,000000,8.797,8.8317,8.7356,8.8034,80031114,0
MO.US,D,20060424,000000,8.786,8.9093,8.7458,8.9028,52903559,0
MO.US,D,20060425,000000,8.8869,8.9838,8.8803,8.941,51795536,0
MO.US,D,20060426,000000,8.9782,9.0451,8.8869,8.9093,41949178,0
MO.US,D,20060427,000000,8.8225,9.0489,8.7987,8.9782,84810083,0
MO.US,D,20060428,000000,9.0006,9.1399,8.9782,9.1295,81984361,0
MO.US,D,20060501,000000,9.1238,9.1531,9.0177,9.0394,52702465,0
MO.US,D,20060502,000000,9.0214,9.119,9.0006,9.0982,39586535,0
MO.US,D,20060503,000000,9.0982,9.1295,9.0394,9.1295,34677771,0
MO.US,D,20060504,000000,9.173,9.2078,9.0982,9.1933,56621770,0
MO.US,D,20060505,000000,9.2223,9.2897,9.173,9.2107,56149092,0
MO.US,D,20060508,000000,9.2223,9.2377,9.1474,9.1866,31151835,0
MO.US,D,20060509,000000,9.1866,9.2377,9.1531,9.2165,33912658,0
MO.US,D,20060510,000000,9.2078,9.2165,9.0489,9.0697,52853081,0
MO.US,D,20060511,000000,9.0754,9.0925,8.8748,8.9028,69047902,0
MO.US,D,20060512,000000,8.9596,8.9679,8.7411,8.786,75501308,0
MO.US,D,20060515,000000,8.786,8.9596,8.775,8.9093,63177732,0
MO.US,D,20060516,000000,8.9334,9.011,8.8869,8.9596,43320780,0
MO.US,D,20060517,000000,8.954,9.0053,8.797,8.8665,64925091,0
MO.US,D,20060518,000000,8.8711,8.9679,8.797,8.797,56681865,0
MO.US,D,20060519,000000,8.8115,8.9242,8.7458,8.8609,69611926,0
MO.US,D,20060522,000000,8.8488,8.8972,8.7987,8.845,62029662,0
MO.US,D,20060523,000000,8.8869,8.9196,8.8488,8.8488,41926740,0
MO.US,D,20060524,000000,8.8609,9.0697,8.8563,8.9614,73141883,0
MO.US,D,20060525,000000,8.9717,9.0177,8.8945,9.0006,58075092,0
MO.US,D,20060526,000000,9.0053,9.0489,8.9614,9.0451,63476580,0
MO.US,D,20060530,000000,9.0394,9.1238,8.9093,8.9093,67652266,0
MO.US,D,20060531,000000,8.9679,9.0451,8.8869,9.0328,96107361,0
MO.US,D,20060601,000000,9.0537,9.1096,9.0053,9.0394,55135609,0
MO.US,D,20060602,000000,9.011,9.1049,8.9838,9.0925,73600934,0
MO.US,D,20060605,000000,9.065,9.0754,8.9334,8.941,35644783,0
MO.US,D,20060606,000000,9.0177,9.0451,8.8869,8.9903,90476745,0
MO.US,D,20060607,000000,9.0177,9.0177,8.8488,8.8563,81194417,0
MO.US,D,20060608,000000,8.8972,8.941,8.7513,8.8972,114144063,0
MO.US,D,20060609,000000,8.8972,8.9196,8.8115,8.8711,62261199,0
MO.US,D,20060612,000000,8.9149,8.9838,8.8711,8.8711,62885303,0
MO.US,D,20060613,000000,8.797,8.828,8.6815,8.6815,76393813,0
MO.US,D,20060614,000000,8.6869,8.7549,8.6563,8.7329,55263793,0
MO.US,D,20060615,000000,8.7549,8.8225,8.7329,8.8115,63321149,0
MO.US,D,20060616,000000,8.8115,8.9196,8.7513,8.8488,84317369,0
MO.US,D,20060619,000000,8.8945,8.941,8.8609,8.9028,69599893,0
MO.US,D,20060620,000000,8.9679,9.0451,8.9334,8.9717,54676534,0
MO.US,D,20060621,000000,8.9717,9.0394,8.9484,8.9903,47421962,0
MO.US,D,20060622,000000,8.954,9.0489,8.954,9.0177,40272334,0
MO.US,D,20060623,000000,8.9614,9.0053,8.8869,8.8945,43157340,0
MO.US,D,20060626,000000,8.954,9.011,8.9288,9.0053,37809534,0
MO.US,D,20060627,000000,9.0053,9.1143,8.9484,9.0489,56922210,0
MO.US,D,20060628,000000,9.0575,9.119,9.0451,9.119,44088298,0
MO.US,D,20060629,000000,9.173,9.2377,9.0868,9.2223,79682607,0
MO.US,D,20060630,000000,9.2223,9.2589,9.1332,9.1672,54743843,0
MO.US,D,20060703,000000,9.1672,9.2473,9.1474,9.2425,25237608,0
MO.US,D,20060705,000000,9.2078,9.2329,9.119,9.1531,44612261,0
MO.US,D,20060706,000000,9.173,9.874,9.065,9.707,414380341,0
MO.US,D,20060707,000000,9.679,9.713,9.583,9.713,144241552,0
MO.US,D,20060710,000000,9.733,9.786,9.651,9.651,96943780,0
